text,label,topik
Para relawan Gaspoll di Kabupaten Indramayu mendeklarasikan dukungan kepada Muhaimin Iskandar atau Gus maju Pilpres,positif,pemerintahan
Demi UMKM Naik Kelas Pemkab Indramayu Siapkan Perda Pemerintah Kabupaten Indramayu terus berkomitmen bagaimana,positif,pemerintahan
Upaya Pemerintah Kabupaten Indramayu dalam meningkatkan Indeks Pembangunan Masyarakat (IPM) Indramayu ,positif,pemerintahan
Bupati mengundang Camat Sliyeg Endang Ismiati beserta 14 Kadesnya dalam kegiatan ramah-tamah sambil makan siang bersama di pendopo kabupaten,positif,pemerintahan
Bupati Indramayu Nina Agustina sering kali mengundang para camat beserta para kepala kali ini Jumat,positif,pemerintahan
Kunjungan Kerja Deputi Bidang Advokasi Penggerakan dan Informasi (ADPIN) BKKBN RI ke Kabupaten Indramayu diterima oleh Bupati Indramayu Hj Nina Agustina SH MH C R A di Pendopo Kabupaten Indramayu dalam rangka Penguatan TPD dan TPK Bangga Kencana dan Penurunan Stunting,positif,pemerintahan
Rapat Koordinasi Pelaksanaan Kegiatan dan Anggaran Desa dalam PPKM Tingkat Desa tahun 2022 dari Dirjen Bina Pemdes Kemendagri ,positif,pemerintahan
Konsultasi Perizinan dengan Tanya Dpmptsp Kab Indramayu dapat dilakukan melalui Live Chat (Whatsapp) dan Via Telephone,positif,pemerintahan
Di Indramayu Muzani Tegaskan Prabowo Maju 2024 Seluruh Kader Gerindra All Out!,positif,pemerintahan
Pimpinan Fraksi Tegaskan Keseriusan Interpelasi,positif,pemerintahan
Hubungan eksekutif-legislatif di Indramayu tengah tegang Bila dibiarkan semua ini hanya akan membuat warga Indramayu  jauh dari sejahtera,negatif,pemerintahan
Top News Koran Rakyat Merdeka Soal Interpelasi Bupati Indramayu DPRD  Masyarakat Jangan Berpikir Mau MenjatuhkaN,positif,pemerintahan
Menurutnya ini merupakan bentuk sinergitas dan penguatan komunikasi yang baik dalam rangka memaksimalkan program unggulan Bupati Indramayu untuk menyelesaikan persoalan yang menimpa masyarakat.,positif,pemerintahan
Puluhan ASN di Pemkab Indramayu Dapat Motor Dinas Baru.,positif,pemerintahan
Penghargaan ini diserahkan PWI kepada Nina Agustina karena dinilai sangat peduli terhadap kesenian dan kebudayaan,positif,pemerintahan
PDI Perjuangan Indramayu Tebar Ribuan Benih Ikan di Embung Desa Telukagung,positif,pemerintahan
"Bupati Tak Hadir, Rapat DPRD Indramayu Diwarnai Interupsi",negatif,pemerintahan
Pejabat yang didelegasikan oleh Bupati Indramayu yakni Sekretaris daerah (Sekda) Indramayu,negatif,pemerintahan
Kegiatan Rapat Paripurna yang dipimpin langsung oleh Kepala Kejaksaan Negeri Indramayu,positif,pemerintahan
"Cerita Ketua DPC Gerindra Indramayu, Diajak ke Demokrat dan Golkar Tapi Pilih Gerindra dan Prabowo",positif,pemerintahan
Anggota DPRD Kabupaten Indramayu mengaku kecewa atas ketidakhadiran Bupati Indramayu Nina Agustina dalam rapat paripurna,negatif,pemerintahan
Menanggapi kabar ketidakharmonisan Bupati dan Wakil Bupati Indramayu,negatif,pemerintahan
bupati dan wakilnya jarang berinteraksi dengan warga,negatif,pemerintahan
bupati dan wakilnya kurang memerhatikan rakyat indramayu,negatif,pemerintahan
perda kurang memperhatikan destinasi wisata indramayu,negatif,pemerintahan
wakil indramayu kok jarang terlihat,negatif,pemerintahan
bupati dan wakilnya lagi tidak akur,negatif,pemerintahan
Anggota DPRD Indramayu Ditangkap Diduga Terlibat Pembantaian Dua Petani Tebu,negatif,pemerintahan
anggota dprd kok bisa bunuh petani gak ada otak emang,negatif,pemerintahan
perda banyak yang janji palsu,negatif,pemerintahan
gimana wisata bisa maju perdanya kurang memperhatikan fasilitas wisata di indramayu,negatif,pemerintahan
sudah bosen banget perda banyak yang janji palsu,negatif,pemerintahan
akibat lambung kiri alami bocor kapal nelayan air eret wetan camat kandanghaur kabupaten indramayu tenggelam ,negatif,lainnya
angka cerai kabupaten indramayu kemarin adil agama indramayu catat usia nikah ,negatif,lainnya
hah indramayu nih ko orang indramayu gatau berita,negatif,lainnya
sama kakk indramayu msh hujan pas jam setengh ujan nya gde bgt smp sawah yg pagi tdi air nya udh kering udh banjir lgi,negatif,lainnya
baca berita celaka gini inget indramayu syukur selamat allah yg bawa mobil panik ngeguling nabrak trotoar gue yg istilah body mobil blkg penyok dikit aja skrg rada trauma gimana gala,negatif,lainnya
 kampung gw indramayu valid sih indramayu isi sawah jarang pohon rimbun,negatif,lainnya
inget pas indramayu brg  bawa sawah google maps,negatif,lainnya
boneka ayam jago jayol indramayu mati pasar internasional ,negatif,lainnya
cekam detik detik usaha evakuasi abk kapal ikan karam air indramayu jawa barat korban seret gelombang angin kencang ,negatif,lainnya
celaka laut kapal nelayan air eret camat kandanghaur tel korban jiwa perhati bupati indramayu hj nina agustina bupati nina prihatin ,negatif,lainnya
celaka maut indramayu maju adil ayah korban ,negatif,lainnya
celaka maut jalan pantura indramayu wanita hamil tewas,negatif,lainnya
deret janda jawabarat indramayu dominasi angka ,negatif,lainnya
akibat lambung kiri alami bocor kapal nelayan air eret wetan camat kandanghaur kabupaten indramayu tenggelam,negatif,lainnya
angka cerai kabupaten indramayu kemarin adil agama indramayu catat usia nikah ,negatif,lainnya
duga akibat kosleting listrik mesin mobil truk kontainer bakar hebat jalur pantura camat losarang kabupaten indramayu jumat sore ,negatif,lainnya
geger temu mayat wanita telanjang pesisir pantai cantigi indramayu ,negatif,lainnya
iis dahlia gugat cerai suami adil agama indramayu cerai pandemi ,negatif,lainnya
indramayu laku tindak pidana tubuh anak umur  jalan sidang adil negeri pn indramayu rabu,negatif,lainnya
indramayu tkw indramayu  vonis penjara dagang narkoba adil negeri hongkong vonis jatuh hakim ,negatif,lainnya
nelayan kabupaten indramayu jawa barat alpandi hilang perahu tumpang bocor tenggelam nelayanhilang ,negatif,lainnya
nilai kordinasi usul hak interpelasi dprd indramayu ruyanto ancam pecat ,negatif,lainnya
perahu bocor nelayan indramayu lapor hilang air eret ,negatif,lainnya
saudara saya indramayu kena oknum adlh mafia tanah bkrja dgn aparat adil polisi,negatif,lainnya
sidang perdana insiden darah lahan tebu batas kabupaten indramayu majalengka gelar adil negeri kabupaten indramayu ijo,negatif,lainnya
bpbd indramayu mapping potensi bencana ,positif,lainnya
bri ambil langkah cepat bantu tanggap bencana masyarakat dampak banjir ,positif,lainnya
giat rapat kerja laksana kamis januari jumat januari awal sambut wakil ketua adil agama indramayu,positif,lainnya
giat tertib emis amen anak punk traffic light wilayah indramayu kota data kirim dinas sosial kabupaten indramayu,positif,lainnya
hai kawanlaut kantor upp kelas iii indramayu dharma wanita ada giat bakti sosial masyarakat desa babad camat sindang kabupaten indramayu ,positif,lainnya
hati hati ombak laut utara jawa bupati nina pesan nelayan laut ,positif,lainnya
indramayu denny achmad  laksana giat pantau sidang tipiring kait langgar prokes laku batas giat masyarakat ppkm balai desa jatibarang kab indramayu hadir giat ketua adil negeri indramayu,positif,lainnya
organisasi wartawan indramayu sepakat tempat gedung eks adil ,positif,lainnya
rangka jaga hubung silaturahmi sinergitas polres indramayu adil negeri indramayu cipta situasi kamtibmas aman damai kondusif akpol divisihumaspolri ssdm polri multimedia humaspolri humaspolda jabar ,positif,lainnya
selamat sukses lantik drs h musthofa kamal m h wakil ketua adil agama indramayu moga emban tugas amanah jujur adil selamat adil agama indramayu,positif,lainnya
dalam kesempatan dandim indramayu juga mengamini agar sama menciptakan rasa aman kondusif baik dilingkungan lapas maupun wilayah indramayu sehingga indramayu bisa lebih baik maju,positif,lainnya
cerdas handal berpatriolisme yang tinggi dibawah naungan mulia asri indramayu religius maju mandiri sejahtera,positif,lainnya
selamat ulang tahun kota indramayu semoga semakin maju berkembang,positif,lainnya
indramayu harus terus maju terus berprestasi,positif,lainnya
"Desa saya Indramayu sah, tapi Indramayu dipenuhi persawahan dan jarang ada pepohonan yang rimbun",positif,lainnya
"oh my god, ini stasiun memori yang bagus dari masa lalu ketika liburan sekolah, dr Indramayu selalu ada di sini, kan",positif,lainnya
"Banyak ndagel di Cirebon, Indramayu, kadang pulang sekolah mau tawuran dengan sekolah lain.",positif,lainnya
"aktif, disiplin, pancar, amin, punk traffic light, daerah indramayu, kota, kirim data ke dinas sosial kabupaten indramayu",positif,lainnya
"hektar sawah di Desa Telukagung, Kecamatan Indramayu, Kabupaten Indramayu, petani terlantar enggan memanfaatkan lahan",positif,lainnya
jadwal samsat keliling cirebon indramayu majalengka dan kuningan juni untuk bayar pajak kendaraan,positif,lainnya
pada juga pembangunan asrama haji di kabupaten indramayu segera selesai,positif,lainnya
rencana pemadaman listrik indramayu juni,positif,lainnya
wika bekerja sama dengan palang merah indonesia pmi untuk menyelenggarakan kegiatan donor darah pada rabu,positif,lainnya
heboh wanita muda di indramayu melahirkan di tepi jalan persalinan di motor roda,negatif,lainnya
Aksi massa saat pelaku diamankan polisi untuk dibawa ke Mapolsek Juntinyuat,negatif,lainnya
FSPP Kabupaten Indramayu dukun Pemerintah Cabut izin Pesantren yang terafiliasi dengan jaringan teroris ,negatif,lainnya
"Imbas Unjuk Rasa Ricuh di Mapolda Jawa Barat, Polres Indramayu Amankan 20 Anggota GMBI",negatif,lainnya
"Polres Indramayu Tangkap 20 Anggota GMBI, 5 Orang Positif Narkoba  ",positif,lainnya
"Berbagai peradaban bercampur mewarnai perkembangan Kota Indramayu. Termasuk Klenteng Indramayu, di Kelurahan Lemahm",positif,lainnya
"Marak Kendaraan ODOL Melintas di Pantura, Polres Indramayu Gelar Operasi Penertiban",positif,lainnya
"Kecelakaan terjadi di jalan pantura Kecamatan Losarang, Kabupaten Indramayu. Dua unit truk tronton dari arah Cirebon",negatif,lainnya
"Jelang Libur Nataru, Bus yang Melintas Jalur Pantura Indramayu Diberhentikan Polisi, Ini yang Dicek",negatif,lainnya
"Siapa sangka, masyarakat Kabupaten Indramayu tercatat sebagai warga yang paling bahagia se Jawa Barat (Jabar).",positif,lainnya
"Dikutip dari pikiran-rakyat - Dari 27 kabupaten dan kota di Jabar, Kabupaten Indramayu menempati peringkat pertama IBangga. Ada tiga kriteria indeks yang menjadikan Kabupaten Indramayu mendapat nilai tertinggi.",positif,lainnya
"Sesosok warga ditemukan meninggal di sawah, warga tersebut berasal dari Kecamatan Cikedung, Kabupaten Indramayu.",negatif,lainnya
"Dari analisis kebutuhan pangan di Kabupaten Indramayu, setiap tahun membutuhkan pasokan sekitar 23 ribu ton, minyak goreng.",negatif,lainnya
"Satuan tugas pangan, Kabupaten Indramayu, melakukan inspeksi mendadak, untuk mengecek ketersediaan stok minyak goreng di sejumlah agen.",positif,lainnya
"Foodbank DPC PKB Indramayu, Jum'at 4 Februari 2021, berbagi Ratusan Paket Sembako kepada Guru ngaji, Anak Yatim Piatu, Jompo, dan Masyarakat yang membutuhkan di blok Cibiuk, Desa Kertawinangun Kec. Kandanghaur Kab. Indramayu.",positif,lainnya
Bertempat di aula Kantor Kecamatan Kertasemaya dilaksanakan giat rapat persiapan penyaluran Banso dari Baznas Kab Indramayu. Rapat di pimpin Sekcam dan Plt Kasi Kesos diikuti Kasi Pelayanan Desa / Lebe se- Kec Kertasemaya.,positif,lainnya
"Razia knalpot bising dilakukan Unit Lantas Polsek Kandanghaur, Kabupaten Indramayu. Sejumlah pengendara  diberhentikan petugas. Polsek Kandanghaur Kabupaten Indramayu melakukan razia",positif,lainnya
Duh Kasus Perceraian di Kabupaten Indramayu Didominasi Pasangan Muda,negatif,lainnya
Pelatihan Pembuatan Content untuk Medsos P. PKK Desa se Kecamatan Sliyeg ,positif,lainnya
"Tangani Sampah di Indramayu, Bank Sampah Dibentuk di Tiap Sekolah",positif,lainnya
"Jumat, 04 Pebruari 2022. Giat Senam Bersama Ibu-Ibu PKK Kecamatan dan Desa se-Kecamatan Juntinyuat",positif,lainnya
"Terkesan dengan Kendari, Bupati Nina Akan Wujudkan Eco Kuliner di Indramayu ",positif,lainnya
Gatau kenapa harga makanan di Indramayu tergolong mahal secara UMR Indramayu UMR Kota lainnya tapi rasanya tetep lebih mahalan imy,negatif,lainnya
"Nyawa 2 Nelayan Indramayu ini Selamat, Terombang-ambing 3 Jam di Tengah Laut Hanya Memegang Drum",positif,lainnya
Kejaksaan Negeri Indramayu mengadakan kegiatan Penyuluhan dan Penerangan,positif,lainnya
"BPBD Ungkap Sebab Tanah Tanggul Sungai Cimanuk Indramayu Ambles Lagi, Secepatnya Dilakukan Perbaikan",negatif,lainnya
" Pers Harus Tangkal Hoax, Ketua DPRD Minta Sajikan Berita Akurat dan Berimbang",positif,lainnya
"jalan ke indramayu via pantura arah jkt, ada yang minta sumbangan di jalan sampe nutup 1/2 jalan pake bambu, ada ya ",negatif,lainnya
"Jembatan Penghubung 2 Desa di Indramayu Ambruk, Warga Buat Jembatan Darurat",negatif,lainnya
blh mnt kurir dc karanganyar indramayu gk Pkt sy gk d krim2 di sana,negatif,lainnya
Kegiatan Membersihkan Lingkungan Di Desa Sudikampiran Kecamatan Sliyeg,positif,lainnya
Rapat Koordinasi Secara Virtual Penanganan Sampah Plastik Melalui Pembentukan Bank Sampah Pramuka,positif,lainnya
Pipa Minyak Bocor Cemari Sawah Warga Indramayu,negatif,lainnya
Gigihnya Salamun di Indramayu Tanam Mangga Agrimania Buah Mangga Termahal di Indonesia Tembus Eropa  Sekarang sawah itu sudah dialihfungsikan jadi kebun mangga agrimania sejak tahun 2018 dan dikelola khusus oleh warga di sekitaran Perumahan Bumi Patra,positif,lainnya
Harcules itu Raja sawah di Indramayu,positif,lainnya
Petani Kelurahan Karanganyar Indramayu Jawa Barat memanfaatkan pembangkit listrik tenaga surya sebagai sumber energi lampu penerangan serta menghidupkan pompa air untuk mengairi sawah dan kebun palawija,positif,lainnya
Indramayu Pak Surtina dan Bu Toniah nyaris habis harapan Kehidupannya sebagai buruh tani tak juga membuat kesejahteraan keluarganya membaik dari hari ke hari. Ia menggarap sawah tapi bukan miliknya sawah panen bukan punyanya Kehidupan makin terasa sulit,negatif,lainnya
"Pesawat tanpa awak (Drone) bisa dimanfaatkan untuk pertanian. Di Indramayu, drone tengah diujicoba untuk menyemprotkan cairan pestisida ke areal sawah",positif,lainnya
Sawah Rusak Akibat Kabel Sutet Putus Petani Jangga Indramayu Tuntut Ganti Rugi,negatif,lainnya
"Ribuan meter sawah petani di Desa Jangga, Kecamatan Losarang, Kabupaten Indramayu rusak akibat putusnya kabel listrik saluran udara tegangan ekstra tinggi (SUTET) yang menimpa tanaman padi milik petani",negatif,lainnya
"Pipa Minyak Bocor Cemari Sawah Warga Indramayu  Ismail berharap, ada ganti rugi yang sepadan dari pihak Pertamina terhadap tanaman padi miliknya yang kini mati ",negatif,lainnya
"Semangat yok, nih liat ada 13 anak pertanian lagi magang di sawah daerah Indramayu",positif,lainnya
"Kondisi bangunan sekolah kurang representatif, masih ditemukan di Kabupaten Indramayu Satu lokal gedung, SDN 2 Pawidean",negatif,lainnya
Bangunan Sekolah SDN 2 Pawidean Indramayu Rusak,negatif,lainnya
meledaknya pertamina balongan diduga tersambar petir,negatif,lainnya
pertamina balongan meledak lagi,negatif,lainnya
beberapa rumah warga ada yang rusak akibat ledakan pertamina balongan,negatif,lainnya
Kelangkaan solar ini banyak membuat nelayan tak bisa melaut,negatif,lainnya
harus mengantre berjam-jam di SPBU untuk bisa mendapatkannya,negatif,lainnya
ada berita orang Indramayu bisa bangun rumah gede beli mobil bagus punya tanah dan sawah luas dari hasil ngemis di Jakarta,negatif,lainnya
Miris Situs Makam Benggala-Benggali di Sindang Indramayu Terbengkalai KOTOR & BAU,negatif,lainnya
Berdayakan kami masyarakat di desa penyangga untuk turut andil dalam proyek pengembangan pabrik PT Polytama Propindo di Desa Limbangan Kecamatan Juntinyuat ,positif,lainnya
air laut di sekitar objek wisata pantai balongan indah kecamatan balongan kabupaten indramayu mendadak berubah,negatif,wisata
akibat terjadinya abrasi pantai wisata karangsong kabupaten indramayu terancam tenggelam derasnya ombak,negatif,wisata
sebuah lapak pedagang tidak ditempati akibat abrasi di pantai karangsong indramayu,negatif,wisata
retribusi dan pad di sektor objek wisata di kabupaten indramayu dinilai rendah dprd kabupaten indramayu merencan,negatif,wisata
dinas budaya pariwisata tutup aktivitas objek wisata pantai tirtamaya camat juntinyuat kabupaten indramayu ,negatif,wisata
pek tutup wisata pantai tirtamaya camat juntinyuat kabupaten indramayu buka perintah kabupaten ,negatif,wisata
objek wisata pantai tirtamaya desa juntikedokan camat juntinyuat kabupaten indramayu tutup objek wisata legendaris bumi wiralodra terus tutup perintah kabupaten pemkab indramayu langsung ambil inisiatif ,negatif,wisata
david nainggolan berhasil buka akses jalan pelosok hingga bangun wisata religi selama jabat dandim kuningan  ,positif,wisata
kawasan puncak jadi salah satu kota tujuan wisata yang selalu ramai dikunjungi  berikut ini ada tempat wisata di  ,positif,wisata
wahana alam parung  destinasi sempurna dengan harga ekonomis  simak informasi selengkapnya di  ,positif,wisata
buat kamu yang berencana untuk jalan jalan bersama keluarga di weekend ini  lembang bandung bisa jadi pilihan utama  ,positif,wisata
bogor memang tak ada habisnya untuk diperbincangkan  ada beberapa tempat wisata bogor yang recommended dan sayang u  ,positif,wisata
dengan kebudayaan  fs artlas ingin perkenalkan wisata tasikmalaya pemkottsm  ,positif,wisata
bandung adalah salah satu kota yang ramah untuk anak  terdapat sejumlah tempat wisata yang menyenangkan untuk dikun  ,positif,wisata
gubernur jabar  ridwan kamil meninjau proyek bendungan ciawi di kabupaten bogor yg sdg dikerjakan oleh pt br  ,positif,wisata
semoga dng diresmikanya refitalisasi olh gub jabar situ ciburuy lebih baik lagi dan menjadi destinasi wisata luar r  ,positif,wisata
gubernur jabar  ridwan kamil meninjau proyek bendungan ciawi di kabupaten bogor yg sdg dikerjakan oleh pt br  ,positif,wisata
lokasinya yang berada di ciawi  bogor ini pun akan membuat bendungan ciawi berpotensi menjadi salah satu destinasi  ,positif,wisata
wisata dan pendampingan revalidasi ciletuh pelabuhan ratu unesco global geopark   kabid destinasi pariwisata meng  ,positif,wisata
kegiatan ini diikuti oleh seluruh pegawai baik asn maupun non asn di lingkungan disparbud jabar   pada apel kali in  ,positif,wisata
penyampaian program kegiatan bidang destinasi pariwisata pada apel pagi agustus kadisparbud jabar benny bac  ,positif,wisata
next destinasi klo ke jabar dah wkwkw  aman klo track nya mobil masuk makasih junnn rekomen nya,positif,wisata
program tersebut ditujukan untuk menciptakan kawasan pariwisata terpadu dan destinasi wisata berkelas dunia yang ma  ,positif,wisata
lokasinya yang berada di ciawi bogor ini pun akan membuat bendungan ciawi berpotensi menjadi salah satu destinasi w  ,positif,wisata
fakta gunung papandayan garut  destinasi favorit pendaki pemula ,positif,wisata
Kalau ke Pulau Komodo mahal bisa ke Pulau Biawak Cuma 2 jam naik boat dari Indramayu,positif,wisata
gubernur jabar ridwan kamil meninjau proyek bendungan ciawi di kabupaten bogor yg sdg dikerjakan oleh pt br  ,positif,wisata
gubernur jabar meninjau proyek bendungan ciawi yang sedang dikerjakan oleh pt brantas abipraya  persero ini akan  ,positif,wisata
ciawi berpotensi menjadi salah satu destinasi wisata di jawa barat  tak tanggung  bumn yg dikenal champion dlm p  ,positif,wisata
disalah satu destinasi wisata di jawa barat  tak tanggung  bumn yang dikenal champion dalam pembangungan infrastru  ,positif,wisata
first time in history keluarga yang notabene pada nyari lanjutan sekolah ke daerah jabar jateng  diy adek w banti  ,positif,wisata
isi pekan manfaat masyarakat libur wisata pantai karangsong kabupaten indramayu ,positif,wisata
operasi lilin lodaya polsek juntinyuat jajar polres indramayu laksana himbauan prokes obyek wisata ,positif,wisata
pemkab indramayu kelola wisata pantai tirtamaya ,positif,wisata
sinergitas polsek jatibarang jajar polres indramayu koramil jatibarang laku himbauan prokes lokasi wisata ,positif,wisata
pemkab indramayu kelola wisata pantai tirtamaya,positif,wisata
ayoo wisata ke kab kota indramayu jawa barat dgn unduh aplikasi,positif,wisata
disparpora pastikan bantu pelaku investasi bidang pariwisata di cianjur    ,positif,wisata
wisata  dan pendampingan revalidasi ciletuh pelabuhan ratu unesco global geopark   kabid destinasi pariwisata meng  ,positif,wisata
kegiatan ini diikuti oleh seluruh pegawai baik asn maupun non asn di lingkungan disparbud jabar   pada apel kali in  ,positif,wisata
penyampaian program kegiatan bidang destinasi pariwisata pada apel pagi   agustus       kadisparbud jabar benny bac  ,positif,wisata
 ridwankamil assalamualaikum  puten kang emil sebagai warga jabar mohon pariwisata jabar di benahi sy sering  ,negatif,wisata
